Date,StudentName,FirstName,LastName,SiblingName,ChargeCategory,OriginalCharge,DiscountType,DiscountAmount,Adjustment,BillingAmount,Status,Gender,Age,City,State,Program,Room,Schedule,StartTime,EndTime
8/1/2022,Aaliyan Jangda,Aaliyan,Jangda,Zayyan,Tuition,"$1,100.00",Sibling ,-$55.00,$0.00,"$1,045.00",Active,male,4,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
8/1/2022,Abdul hadi Bhangda,Abdul,hadi Bhangda,,Tuition,$950.00,Old Price Discount,$47.50,$0.00,$902.50,Inactive,male,4,Plano,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Abigail Esparza,Abigail,Esparza,Ragnar,Tuition,"$1,155.00",CCA Discount,-$428.89,$0.00,$726.11,Active,female,8,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Adira Oberhansley,Adira,Oberhansley,,Tuition,"$1,050.00",,$0.00,$0.00,"$1,050.00",Active,female,3,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Ahmad Azimov,Ahmad,Azimov,,Tuition,"$1,050.00",Old Price Discount,-$50.00,$0.00,"$1,000.00",Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Alaina Barnwell,Alaina,Barnwell,,Tuition,"$1,400.00",CCA Discount,-$369.60,$0.00,"$1,030.40",Active,female,2,Garland,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,Alexandra Hewes,Alexandra,Hewes,,Tuition,"$1,018.50",Prepayment Discount,-$96.90,$0.00,$921.60,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Ameera Jibrin,Ameera,Jibrin,,Tuition,$950.00,Employee discount,-$950.00,$0.00,$0.00,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,Amy Tuyet-Nhi Au,Amy,Tuyet-Nhi Au,,Tuition,"$1,050.00",Old Price Discount,-$50.00,$0.00,"$1,000.00",Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Anahi Itzel Flores,Anahi,Itzel Flores,,Tuition,"$1,155.00",Old Price Discount,-$55.00,$0.00,"$1,100.00",Active,female,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,Anayah Qureshi,Anayah,Qureshi,,Tuition,"$1,000.00",Friends & Family,-$145.00,-$855.00,$0.00,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Andrew Wasinger,Andrew,Wasinger,,Tuition,"$1,050.00",,$0.00,"-$1,050.00",$0.00,Inactive,male,6,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Ansara Currimbhoy,Ansara,Currimbhoy,,Tuition,"$1,050.00",Employee discount,"-$1,050.00",$0.00,$0.00,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,Arham Khan,Arham,Khan,,Tuition,$950.00,,$0.00,$0.00,$950.00,Inactive,male,5,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Ariana Jetpuri,Ariana,Jetpuri,Aydin,Tuition,"$1,050.00",Sibling ,-$100.00,-$950.00,$0.00,Active,female,8,Garland,Texas,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,Arsal Quraishi,Arsal,Quraishi,,Tuition,"$1,018.50",Military Discount,-$50.92,-$46.08,$921.50,Inactive,male,6,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Asher Adibi,Asher,Adibi,,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,male,4,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Ashton Black,Ashton,Black,,Tuition,"$1,050.00",Sibling ,-$100.00,$0.00,$950.00,Inactive,male,8,,,Lower Elementary,Newton,5SD,8:30 AM,2:45 PM
8/1/2022,Aubrey Palmer,Aubrey,Palmer,,Tuition,$900.00,Sibling ,-$87.75,$0.00,$812.25,Inactive,female,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Aurora Johnson,Aurora,Johnson,Avah,Tuition,$525.00,CCA Discount,-$85.00,$0.00,$440.00,Inactive,female,,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Ava Toufexis,Ava,Toufexis,June,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,female,3,Garland,Texas,Toddler,Mozart,FD,7:00 AM,6:00 PM
8/1/2022,Avah Johnson,Avah,Johnson,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Active,female,10,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,Aya Bahsoun,Aya,Bahsoun,,Tuition,"$1,000.00",Friends & Family,-$300.00,-$700.00,$0.00,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,Ayah Shurafa,Ayah,Shurafa,Sarah,Tuition,"$1,100.00",Friends & Family,-$55.00,$0.00,"$1,045.00",Active,female,4,Rowlett,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,Aydin Hawlery,Aydin,Hawlery,Elind,Tuition,"$1,155.00",CCA Discount,-$107.80,$0.00,"$1,047.20",Active,male,3,Wylie,Texas,Toddler,Beethoven,FD,7:00 AM,6:00 PM
8/1/2022,Aydin Jetpuri,Aydin,Jetpuri,Ariana,Tuition,"$1,100.00",Old Price Discount,-$50.00,$0.00,"$1,050.00",Active,male,3,Garland,Texas,Primary,Van Gogh,FD,7:00 AM,6:00 PM
8/1/2022,Benjamin Xhaferaj,Benjamin,Xhaferaj,,Tuition,"$1,000.00",,$0.00,$0.00,"$1,000.00",Inactive,male,5,,,Primary,,FD,7:00 AM,6:00 PM
8/1/2022,Bonnie Sampson,Bonnie,Sampson,Maxwell,Tuition,"$1,018.50",Sibling ,-$186.76,$0.00,$831.74,Active,female,7,Garland,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,Bouchra Tayebi,Bouchra,Tayebi,Kaouthar,Tuition,"$1,000.00",Friends & Family,-$300.00,$0.00,$700.00,Active,female,11,Richardson,Texas,Upper Elementary,Einstein,5SD,8:30 AM,2:45 PM
8/1/2022,Brees Umoren,Brees,Umoren,,Tuition,$950.00,Old Price Discount,-$100.00,$0.00,$850.00,Inactive,female,4,,,Primary,,5SD,8:30 AM,2:45 PM
8/1/2022,Brooks Davis,Brooks,Davis,,Tuition,"$1,000.00",Old Price Discount,-$50.00,$0.00,$950.00,Inactive,male,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
