Post Date,Due Date,Encoded Name,Invoice #,Charge Category,Charge Detail,Program,Program Schedule,Billing Term,Original Charge,Discount 1,Discount 2,Discount 3,Discount 4,Discount Amount,Original Charge Amount,Adjustment Amount,Current Charge Amount,Encoded Name
6/1/2022,6/2/2022,IO751,19329437,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,IO751
6/13/2022,6/13/2022,AA922,19788876,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AA922
6/14/2022,6/14/2022,NS758,19962185,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,NS758
6/22/2022,6/22/2022,EF185,20401980,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,EF185
7/1/2022,7/1/2022,AS333,20969533,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AS333
6/14/2022,7/1/2022,JC823,19924028,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JC823
7/5/2022,7/5/2022,SK678,21080899,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,SK678
7/5/2022,7/5/2022,SA984,21057673,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,SA984
7/11/2022,7/11/2022,JG799,21435613,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,JG799
7/14/2022,7/14/2022,LJ120,21840595,Deposit,Security Deposit,,,,$500.00 ,Waiver,,,,($500.00), $-   , $-   , $-   ,LJ120
6/21/2022,7/15/2022,MJ601,20242473,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,MJ601
7/22/2022,7/22/2022,OW589,24736760,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 ,($500.00), $-   ,OW589
7/27/2022,8/1/2022,AN203,25947533,Deposit,Security Deposit,,,,$500.00 ,,,,, $-   ,$500.00 , $-   ,$500.00 ,AN203
