Date,Student Name,First Name,Last Name,Sibling Name,Charge Category,Original Charge,Discount Type,Discount Amount,Adjustment,Billing Amount,Status,Gender,Age,City,State,Program,Room,Schedule,Start Time,End Time
8/1/2022,,,,Zayyan,Tuition,1100,Sibling ,-55,0,1045,Active,male,4,Garland,Texas,Primary,Chevalier,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,950,Old Price Discount,47.5,0,902.5,Inactive,male,4,Plano,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,Ragnar,Tuition,1155,CCA Discount,-428.89,0,726.11,Active,female,8,Richardson,Texas,Lower Elementary,Newton,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,,0,0,1050,Active,female,3,Garland,Texas,Primary,Chevalier,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,male,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1400,CCA Discount,-369.6,0,1030.4,Active,female,2,Garland,Texas,Infant,Debussy,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1018.5,Prepayment Discount,-96.9,0,921.6,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,950,Employee discount,-950,0,0,Active,female,5,Richardson,Texas,Primary,Cassatt,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1050,Old Price Discount,-50,0,1000,Inactive,female,7,,,Lower Elementary,,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1155,Old Price Discount,-55,0,1100,Active,female,2,Garland,Texas,Toddler,Monet,FD,7:00 AM,6:00 PM
8/1/2022,,,,,Tuition,1000,Friends & Family,-145,-855,0,Inactive,female,7,,,Lower Elementary,,5SD,8:30 AM,2:45 PM
8/1/2022,,,,,Tuition,1050,,0,-1050,0,Inactive,male,6,,,Lower Elementary,,FD,7:00 AM,6:00 PM
